# Time series at grid cell:   1   1   1
  Time(yrs)                  Na+                    K+                     Al+++                  Mg++                   SiO2(aq)               Ca++                   Fe++                   SO4--                  pH                     CO2(aq)                O2(aq)                
  1.00000E-09                2.88997913130872E-05   7.24994874063522E-05   3.48284962983146E-09   6.81011786426723E-06   4.31999915439587E-05   1.21002243567006E-05   8.78999472028276E-07   5.27999800129056E-09   5.96999119915118E+00   1.38423846400227E-03   3.43462959749320E-04
  2.00000E-09                2.88997856036116E-05   7.24994731366874E-05   3.48570042279966E-09   6.81011483935464E-06   4.31999830879199E-05   1.21002189550791E-05   8.78998944058067E-07   5.27999600258362E-09   5.96999031174056E+00   1.38423861991472E-03   3.43462936496509E-04
  3.00000E-09                2.88997798594640E-05   7.24994587580258E-05   3.48855005661563E-09   6.81011183943984E-06   4.31999746319127E-05   1.21002136014218E-05   8.78998416088510E-07   5.27999400387494E-09   5.96998968145246E+00   1.38423891219648E-03   3.43462913235350E-04
  4.00000E-09                2.88997740070686E-05   7.24994441000028E-05   3.49139968994159E-09   6.81010890563265E-06   4.31999661759135E-05   1.21002083744778E-05   8.78997888119840E-07   5.27999200516727E-09   5.96998920024225E+00   1.38423928643199E-03   3.43462889952207E-04
  5.00000E-09                2.88997680907766E-05   7.24994292770523E-05   3.49424932244954E-09   6.81010601086524E-06   4.31999577199217E-05   1.21002032223633E-05   8.78997360151947E-07   5.27999000646050E-09   5.96998880731542E+00   1.38423970919531E-03   3.43462866656137E-04
  7.00000E-09                2.88997561188579E-05   7.24993992757936E-05   3.49995206678413E-09   6.81010030691742E-06   4.31999408079505E-05   1.21001930820924E-05   8.78996304219409E-07   5.27998600905158E-09   5.96998816887484E+00   1.38424063657282E-03   3.43462820036124E-04
  1.10000E-08                2.88997321125756E-05   7.24993391053658E-05   3.51134593110757E-09   6.81008893824026E-06   4.31999069841558E-05   1.21001728767547E-05   8.78994192363107E-07   5.27997801424170E-09   5.96998705029601E+00   1.38424257677892E-03   3.43462726785052E-04
  1.90000E-08                2.88996840344392E-05   7.24992185946206E-05   3.53414287083543E-09   6.81006624183866E-06   4.31998393369253E-05   1.21001325445277E-05   8.78989968692556E-07   5.27996202467403E-09   5.96998491113414E+00   1.38424651109365E-03   3.43462540277954E-04
  3.50000E-08                2.88995878349164E-05   7.24989774641363E-05   3.57973645220259E-09   6.81002087513127E-06   4.31997040440388E-05   1.21000519300659E-05   8.78981521513997E-07   5.27993004573262E-09   5.96998066446768E+00   1.38425439661494E-03   3.43462167289622E-04
  6.70000E-08                2.88993954245813E-05   7.24984951751675E-05   3.67092250104098E-09   6.80993015221509E-06   4.31994334645285E-05   1.20998907209904E-05   8.78964627806837E-07   5.27986608862531E-09   5.96997217753824E+00   1.38427016783275E-03   3.43461421448203E-04
  1.31000E-07                2.88990106115775E-05   7.24975306164730E-05   3.85329148528687E-09   6.80974871452929E-06   4.31988923302937E-05   1.20995683175269E-05   8.78930842991678E-07   5.27973817751272E-09   5.96995520929181E+00   1.38430169921928E-03   3.43459930317066E-04
